ID_SOLICITANTE,ID_EMPRESTIMO,ID_HISTORICO,ID_SOLICITANTE,IDADE_SOLICITANTE,SALARIO_ANUAL,SITUACAO_PROPRIEDADE,ANOS_TRABALHADOS,ID_EMPRESTIMO,MOTIVO,PONTUACAO,VALOR_TOTAL_EMPRESTIMO,TAXA_JUROS,POSSIBILIDADE_INADIMPLENCIA,RENDA_PERCENTUAL,ID_HISTORICO,HISTORICO_INADIMPLENTE,ANOS_CARTAO_CREDITO
sCdh4973-ejmQ,CxYpgGh6-KKrF,Ti4xNUYu-pYve,sCdh4973-ejmQ,28,45000,Alugada,1,CxYpgGh6-KKrF,Médico,B,10000,9.91,0,0.22,Ti4xNUYu-pYve,0,5
iO6mSGSh-hqSZ,CUO7m2Qg-SUBW,QHzN4kdp-2UZ9,iO6mSGSh-hqSZ,31,26000,Alugada,15,CUO7m2Qg-SUBW,Empreendimento,B,1250,11.49,0,0.05,QHzN4kdp-2UZ9,0,10
Cnuy6SwR-uSFa,eZU8jR47-JYbh,aTrjdsGa-Surq,Cnuy6SwR-uSFa,24,22000,Hipotecada,8,eZU8jR47-JYbh,Pessoal,A,8000,5.42,0,0.36,aTrjdsGa-Surq,0,4
dM0UK8YP-zOHO,xFhDaqhB-0Hjz,i63dqT9u-SkSR,dM0UK8YP-zOHO,32,168000,Alugada,5,xFhDaqhB-0Hjz,Educativo,C,25000,15.27,0,0.15,i63dqT9u-SkSR,0,6
5AnyFimd-amEm,NGUD7g9a-5aqy,W7X2IPZU-neOY,5AnyFimd-amEm,29,30000,Alugada,3,NGUD7g9a-5aqy,Médico,B,5000,11.49,0,0.17,W7X2IPZU-neOY,0,9
bpffMNv1-zQBc,tDFATyQ8-Tde1,wG0T0L1v-aZhF,bpffMNv1-zQBc,27,90000,Hipotecada,8,tDFATyQ8-Tde1,Educativo,A,8000,7.66,0,0.09,wG0T0L1v-aZhF,0,5
siaUDkoL-NPag,N4psyZaD-TY0i,qqJfiZNe-vE2C,siaUDkoL-NPag,28,84996,Alugada,12,N4psyZaD-TY0i,"Melhora do lar",C,20000,13.92,0,0.24,qqJfiZNe-vE2C,0,9
aSeMvUnl-pezS,GzRGnaQU-vbnP,tL73kImR-KGpj,aSeMvUnl-pezS,35,71004,Alugada,0,GzRGnaQU-vbnP,Empreendimento,B,25000,NULL,0,NULL,tL73kImR-KGpj,0,4
AHWLiDAk-IfGq,x0tuUjyP-0T6R,vaJt0CSa-oPd8,AHWLiDAk-IfGq,29,138000,Hipotecada,0,x0tuUjyP-0T6R,Educativo,C,25000,13.06,0,0.18,vaJt0CSa-oPd8,1,10
anZddEyF-qvcA,G7dZGfX9-pokJ,eYjeG3oe-Ee7y,anZddEyF-qvcA,23,26000,,1,G7dZGfX9-pokJ,Pessoal,C,NULL,19.69,0,0.13,eYjeG3oe-Ee7y,1,2
EBgzvmrR-aseD,biGsDxZy-GOLx,42lHWkSE-F0Dc,EBgzvmrR-aseD,22,14400,Alugada,0,biGsDxZy-GOLx,"Melhora do lar",D,2100,14.83,1,0.15,42lHWkSE-F0Dc,0,3
EvWNLN40-xwp7,JFmaSQYR-ETUK,RoePkP1s-yF5Q,EvWNLN40-xwp7,45,19200,Alugada,1,JFmaSQYR-ETUK,Empreendimento,B,4000,10,1,0.21,RoePkP1s-yF5Q,0,15
FESrhmDv-zXX1,lm1n8W3p-mPi8,Z2qKnAfU-4rKT,FESrhmDv-zXX1,26,97000,Hipotecada,5,lm1n8W3p-mPi8,"Pagamento de débitos",A,4000,6.62,0,0.04,Z2qKnAfU-4rKT,0,4
riyaM5Iq-LGw6,Ro3vFzTF-rwcA,knJM2cHe-1DCH,riyaM5Iq-LGw6,21,66000,Hipotecada,5,Ro3vFzTF-rwcA,Educativo,A,4500,7.49,0,0.07,knJM2cHe-1DCH,0,2
UglL9j3D-X0Lc,n1A5FNwJ-DP2T,F2B9UEaL-Ayij,UglL9j3D-X0Lc,45,54000,Hipotecada,1,n1A5FNwJ-DP2T,Educativo,D,7750,16.07,1,0.14,F2B9UEaL-Ayij,0,13
ykYbGB2J-eTmx,bK5tShC9-m20X,HlOau05S-5Xkf,ykYbGB2J-eTmx,39,55600,Alugada,0,bK5tShC9-m20X,"Melhora do lar",C,11500,13.22,0,0.21,HlOau05S-5Xkf,0,11
AfKgg2r3-iLHm,it0ElWXG-Ujxc,odpxuIlx-pA54,AfKgg2r3-iLHm,32,74000,Hipotecada,5,it0ElWXG-Ujxc,Empreendimento,B,15000,11.11,0,0.2,odpxuIlx-pA54,0,9
JcFH56xh-IdJQ,AzoqSTjE-CHQ4,nX3y87sG-XQWz,JcFH56xh-IdJQ,22,54000,Hipotecada,5,AzoqSTjE-CHQ4,Médico,B,7000,10.65,0,0.13,nX3y87sG-XQWz,0,4
RmFdSgbK-NrZY,x5bXRcUy-Arjw,tUN48DaT-s3n5,RmFdSgbK-NrZY,24,100800,Hipotecada,4,x5bXRcUy-Arjw,Educativo,B,21000,11.49,0,0.21,tUN48DaT-s3n5,0,4
FE0BWZlW-I2DA,BmaIFuon-Wd4S,69CaK92q-Ja6W,FE0BWZlW-I2DA,22,41000,Alugada,6,BmaIFuon-Wd4S,Empreendimento,A,5000,NULL,0,0.12,69CaK92q-Ja6W,0,2
d20LQTjJ-vm1i,GOMNSvMP-pAZo,QFQaS76r-BirN,d20LQTjJ-vm1i,25,50000,Hipotecada,2,GOMNSvMP-pAZo,Empreendimento,A,10000,7.9,0,0.2,QFQaS76r-BirN,0,2
DFzJcIrI-7gf3,mHatPyoN-42hC,xRhIxXFy-HUta,DFzJcIrI-7gf3,47,38400,Alugada,3,mHatPyoN-42hC,Médico,F,22000,18.78,1,0.57,xRhIxXFy-HUta,1,17
0tIGLjCt-hW4d,ysAlb77y-F3Sq,X9xyqQ1j-SArA,0tIGLjCt-hW4d,22,50000,Própria,6,ysAlb77y-F3Sq,Médico,A,15000,8.63,0,0.3,X9xyqQ1j-SArA,0,2
zFPYv85Y-v73Y,HFoGiTh9-RsLw,4WazKweU-5Aoq,zFPYv85Y-v73Y,33,96000,Hipotecada,NULL,HFoGiTh9-RsLw,"Pagamento de débitos",D,17000,10.65,1,0.42,4WazKweU-5Aoq,NULL,4
yHkLo8O9-Pmet,4Pun9sM0-NSdA,GpYlXghu-phNk,yHkLo8O9-Pmet,37,65000,Alugada,7,4Pun9sM0-NSdA,"Pagamento de débitos",A,9000,6.91,0,0.14,GpYlXghu-phNk,0,15
o6j5hPIW-9UG6,utK7UwOM-S9Df,cuoyxjNN-HoQN,o6j5hPIW-9UG6,26,55000,Alugada,7,utK7UwOM-S9Df,"Pagamento de débitos",A,18800,6.99,1,0.34,cuoyxjNN-HoQN,0,2
fupMPigp-IrKg,WQgxbJEi-m1pT,uc495SuC-0yNs,fupMPigp-IrKg,23,35000,Própria,2,WQgxbJEi-m1pT,Empreendimento,A,16000,7.49,NULL,NULL,uc495SuC-0yNs,0,2
qjbSv7gr-HupH,b2XIk7TJ-Cqwa,C5zflUHY-Ep74,qjbSv7gr-HupH,23,88000,Alugada,1,b2XIk7TJ-Cqwa,Educativo,C,18000,13.16,0,0.2,C5zflUHY-Ep74,0,4
kldtM1j3-f9BS,caP8lI9I-mlTd,tDwgymBR-UP8q,kldtM1j3-f9BS,35,39000,Alugada,8,caP8lI9I-mlTd,Médico,B,5000,9.99,1,0.13,tDwgymBR-UP8q,0,6
bXPQ6SNB-bkE5,fkOlJzbA-Z7al,wga6TJfR-D8sY,bXPQ6SNB-bkE5,32,114000,Alugada,17,fkOlJzbA-Z7al,Médico,B,6000,10.37,0,0.05,wga6TJfR-D8sY,0,9
zTn1j1aZ-SMwY,TkKZ9tfH-63ya,mArRvvNa-cEgl,zTn1j1aZ-SMwY,NULL,120000,Própria,3,TkKZ9tfH-63ya,Educativo,A,5000,10.62,0,NULL,mArRvvNa-cEgl,0,2
KI7BqsSt-Iavt,HvtjOceb-inOW,9oWRTWUT-L49X,KI7BqsSt-Iavt,21,39000,Alugada,4,HvtjOceb-inOW,Educativo,B,6000,10.38,0,0.15,9oWRTWUT-L49X,0,3
eIfmPq9U-BH5t,sWEO2WMp-xkXf,3jWRLXi7-7pfB,eIfmPq9U-BH5t,23,32900,Alugada,1,sWEO2WMp-xkXf,Educativo,D,20000,16,1,0.61,3jWRLXi7-7pfB,0,2
bJ9MWfOk-xK7w,y3BfxT2n-bhd5,2T65fbod-4z7w,bJ9MWfOk-xK7w,29,59004,Alugada,0,y3BfxT2n-bhd5,"Pagamento de débitos",B,4800,11.49,1,0.08,2T65fbod-4z7w,0,7
2WeGeU8W-SEWh,oKpAClOD-SmPF,d5L7mLwS-t5Hh,2WeGeU8W-SEWh,22,98004,Hipotecada,6,oKpAClOD-SmPF,"Pagamento de débitos",A,16000,7.66,0,0.16,d5L7mLwS-t5Hh,0,3
vdqSwJvz-2l8I,bT599AIf-RXLq,GXF8tn0A-9ifP,vdqSwJvz-2l8I,24,37000,Alugada,3,bT599AIf-RXLq,Médico,E,5000,16.45,1,0.14,GXF8tn0A-9ifP,0,3
WwXrx0nj-UG9n,U8fDpRKQ-1ejj,Jj0uWkj8-Esq5,WwXrx0nj-UG9n,33,56312,Alugada,2,U8fDpRKQ-1ejj,"Melhora do lar",B,3000,11.71,0,0.05,Jj0uWkj8-Esq5,0,9
0GZvrlej-NeJj,f1iUo5bw-ZhfI,KjPm1FWp-0DTM,0GZvrlej-NeJj,23,33996,Alugada,0,f1iUo5bw-ZhfI,Pessoal,D,5000,14.84,1,0.15,KjPm1FWp-0DTM,1,2
AOJl6xRy-2msg,a22e3nOe-Sajz,5yOkdSPK-qG38,AOJl6xRy-2msg,27,50000,Hipotecada,0,a22e3nOe-Sajz,Médico,A,12000,6.62,0,0.24,5yOkdSPK-qG38,0,9
5o6U2gog-we82,gpsY9j8T-Zl4H,gRuoxMYu-CXWN,5o6U2gog-we82,26,28800,Alugada,10,gpsY9j8T-Zl4H,Médico,B,15000,10,1,0.52,gRuoxMYu-CXWN,0,2
ayF36XQX-ftkh,LbkSpcGk-RXYM,xwsuQT02-Rzg1,ayF36XQX-ftkh,42,14400,Própria,3,LbkSpcGk-RXYM,Médico,A,3500,NULL,1,0.24,xwsuQT02-Rzg1,0,11
EKDi6GzW-8PE5,X4OxJL7r-Qn0h,0Ej5q26T-uTgH,EKDi6GzW-8PE5,25,42000,Alugada,1,X4OxJL7r-Qn0h,Médico,B,6000,NULL,0,0.14,0Ej5q26T-uTgH,0,4
UIHaU21H-cEfc,511PxrOy-7Syj,cy7lwYWp-wx8W,UIHaU21H-cEfc,36,64000,Alugada,0,511PxrOy-7Syj,Educativo,D,10000,15.28,1,0.16,cy7lwYWp-wx8W,1,12
Q7EDyO67-LI4X,bqikDm84-fSMv,I0bHATPC-yIXP,Q7EDyO67-LI4X,31,190000,Própria,8,bqikDm84-fSMv,Educativo,A,15000,6.03,0,0.08,I0bHATPC-yIXP,0,8
1uCrwF8N-DjZd,UygeLeu4-dv8b,ThBdcz5O-i9sg,1uCrwF8N-DjZd,24,40000,Própria,4,UygeLeu4-dv8b,Pessoal,C,2000,14.35,0,0.05,ThBdcz5O-i9sg,0,2
X1TnBZdo-d57q,Iu0wFiEg-gI5L,sRNKJyKy-nHl1,X1TnBZdo-d57q,23,75000,Hipotecada,6,Iu0wFiEg-gI5L,Educativo,A,5000,6.03,0,0.07,sRNKJyKy-nHl1,0,4
iXZrYcuo-Pt3U,NJXe0R9E-r02J,BWOpwWsF-8Ie0,iXZrYcuo-Pt3U,37,42000,Alugada,0,NJXe0R9E-r02J,Médico,A,12000,NULL,0,0.29,BWOpwWsF-8Ie0,0,14
gFWMxzoN-YBKO,2iUIAkLo-Wnl4,MGb4oGKp-v2yb,gFWMxzoN-YBKO,23,70000,Alugada,4,2iUIAkLo-Wnl4,Educativo,B,6000,11.49,0,0.09,MGb4oGKp-v2yb,0,4
40EP3UGE-bqYD,GGOcjIuZ-KI0D,DHYoUdFm-3G1e,40EP3UGE-bqYD,24,36996,Hipotecada,7,GGOcjIuZ-KI0D,Pessoal,D,7800,NULL,0,0.21,DHYoUdFm-3G1e,1,3
Za9vFLAg-4shL,nTNFgHRQ-35xj,7AbH93HS-anUN,Za9vFLAg-4shL,23,66000,Hipotecada,8,nTNFgHRQ-35xj,Educativo,B,8750,9.99,0,0.13,7AbH93HS-anUN,0,2
1XH1IuiI-zoTQ,qsXUH27a-v6PZ,p62MbYvJ-j1fG,1XH1IuiI-zoTQ,22,36000,Hipotecada,6,qsXUH27a-v6PZ,Educativo,A,12000,7.29,0,0.33,p62MbYvJ-j1fG,0,3
B6M8pG6r-vR6M,XKBawSXr-ui8f,lpEkbiel-QRhl,B6M8pG6r-vR6M,23,26000,Alugada,0,XKBawSXr-ui8f,"Pagamento de débitos",A,3500,6.91,0,0.13,lpEkbiel-QRhl,0,3
rMTQtmYH-cZwG,Oe51E0W8-p1jy,DfSM2Jjp-DifH,rMTQtmYH-cZwG,25,84000,Alugada,1,Oe51E0W8-p1jy,Empreendimento,E,8000,16.45,1,0.1,DfSM2Jjp-DifH,0,2
qDeyTYs1-baNz,OGSU5oJz-B4De,HtcIjFIo-tSbK,qDeyTYs1-baNz,25,50000,Alugada,0,OGSU5oJz-B4De,"Melhora do lar",B,6400,9.91,0,0.13,HtcIjFIo-tSbK,0,4
SoqAx1G1-IqQS,S1ZQ17lE-zJps,UsBCKy7g-QlCp,SoqAx1G1-IqQS,33,65000,Alugada,1,S1ZQ17lE-zJps,Educativo,B,4700,9.45,0,0.07,UsBCKy7g-QlCp,0,7
ToquGZl9-d0sU,lXC1FLtZ-dWfH,McT8oNPx-WBDr,ToquGZl9-d0sU,23,73426,Hipotecada,0,lXC1FLtZ-dWfH,"Pagamento de débitos",C,7500,NULL,0,0.1,McT8oNPx-WBDr,1,2
N7PCvlZS-Gleg,Hb4QAJxo-kW1a,BigPGdFB-dmIc,N7PCvlZS-Gleg,21,19000,Alugada,0,Hb4QAJxo-kW1a,Educativo,C,700,12.29,0,0.04,BigPGdFB-dmIc,0,2
FzubElzl-Iwp9,I2S3TA2D-6Pdm,QWJm9xaN-m4vU,FzubElzl-Iwp9,26,77000,Alugada,0,I2S3TA2D-6Pdm,Empreendimento,A,22000,6.54,0,0.29,QWJm9xaN-m4vU,0,3
M4ZBcN42-6BKj,liwA4C3Y-0ZRl,eEMeNtds-tWJI,M4ZBcN42-6BKj,23,29520,Alugada,7,liwA4C3Y-0ZRl,Educativo,D,8500,15.37,0,0.29,eEMeNtds-tWJI,1,2
u7a1l3zw-Bn1C,fGZe4fyQ-kIGL,MJjdSbn4-gG8X,u7a1l3zw-Bn1C,23,65000,Hipotecada,4,fGZe4fyQ-kIGL,Médico,A,7000,7.14,0,0.11,MJjdSbn4-gG8X,0,3
UlH1TW3Y-SQiZ,RNER8ux2-5JYn,ubvTaO2l-GvUv,UlH1TW3Y-SQiZ,26,53000,Alugada,2,RNER8ux2-5JYn,Empreendimento,E,18000,17.19,1,0.34,ubvTaO2l-GvUv,1,3
Stg2QTuY-qM0h,Qfs21jeH-iJzL,WnU7oxHd-Mj7f,Stg2QTuY-qM0h,32,62900,Alugada,6,Qfs21jeH-iJzL,Médico,D,16000,14.96,1,0.22,WnU7oxHd-Mj7f,0,5
w1wEhYth-zZlo,6r3BX8L6-rfRv,U6s5j8ZD-MAyh,w1wEhYth-zZlo,26,71000,Hipotecada,10,6r3BX8L6-rfRv,"Pagamento de débitos",D,6000,15.62,1,0.08,U6s5j8ZD-MAyh,0,4
8HJkpRUF-fE2T,nsSBn0zA-CADU,ByyHLaTN-3l3S,8HJkpRUF-fE2T,24,40000,Hipotecada,3,nsSBn0zA-CADU,Empreendimento,B,10500,11.36,0,0.26,ByyHLaTN-3l3S,0,4
eBiy9zx3-jg1d,pAmk1jw2-5y8y,FY0JziNX-TPbl,eBiy9zx3-jg1d,22,50004,Alugada,6,pAmk1jw2-5y8y,Educativo,D,10200,15.21,0,0.2,FY0JziNX-TPbl,0,4
EyiIKdDK-D6jk,rC7ue6fh-bavc,bAcLwo8u-UFBe,EyiIKdDK-D6jk,33,21996,Alugada,0,rC7ue6fh-bavc,Educativo,C,9250,12.87,1,0.42,bAcLwo8u-UFBe,0,9
SJXXSnuO-QHWT,i9nWYavE-mR9M,bTCgOlQy-Ga1k,SJXXSnuO-QHWT,25,48000,Alugada,8,i9nWYavE-mR9M,"Pagamento de débitos",C,3500,13.16,0,0.07,bTCgOlQy-Ga1k,0,3
3tqf2M42-gUbT,EUX7vdS9-ZSdO,UUCr5fs3-IskO,3tqf2M42-gUbT,22,45000,Alugada,3,EUX7vdS9-ZSdO,Pessoal,E,10000,17.93,0,0.22,UUCr5fs3-IskO,1,2
sbgD8YYz-InAm,LjMstY2m-zAJE,sLGulbdP-UWbs,sbgD8YYz-InAm,26,32956,Própria,10,LjMstY2m-zAJE,Médico,A,25000,NULL,0,NULL,sLGulbdP-UWbs,0,4
NjjDDpCp-FWn1,hQLKn0Ne-uFS4,EFpXLOEi-FDFc,NjjDDpCp-FWn1,31,49000,Própria,15,hQLKn0Ne-uFS4,Educativo,C,3600,12.69,NULL,0.04,EFpXLOEi-FDFc,NULL,3
25x0n4G1-cjMr,v1xeGtiR-nFHP,ona6oAzr-eiAU,25x0n4G1-cjMr,28,81000,Hipotecada,11,v1xeGtiR-nFHP,Pessoal,A,6000,6.17,0,0.07,ona6oAzr-eiAU,0,8
LJk5ZYtK-KGzW,hg9WuMab-id81,kHMD3UYm-lzde,LJk5ZYtK-KGzW,21,27600,Alugada,2,hg9WuMab-id81,Educativo,B,3000,11.49,0,0.11,kHMD3UYm-lzde,0,4
Ukt5I1uJ-lMan,sU7dQqeS-HaSi,OmaDRTWs-nh98,Ukt5I1uJ-lMan,22,36000,Alugada,1,sU7dQqeS-HaSi,Educativo,C,5000,12.68,1,0.14,OmaDRTWs-nh98,0,4
0SyYsnkP-H1X1,a2naLoSJ-inA4,RvJSiigN-4LWQ,0SyYsnkP-H1X1,29,50000,Hipotecada,2,a2naLoSJ-inA4,Médico,A,5000,NULL,0,0.1,RvJSiigN-4LWQ,0,6
LMlhOrPl-mt8h,nJ93cg5e-wYAq,81Rqz7uD-YMPG,LMlhOrPl-mt8h,25,57000,Alugada,5,nJ93cg5e-wYAq,Médico,D,9600,14.46,1,0.17,81Rqz7uD-YMPG,0,3
UST3A1hd-P2eb,KSmlLAyl-Ijar,xAZypWnB-o1j5,UST3A1hd-P2eb,32,48250,Hipotecada,3,KSmlLAyl-Ijar,Médico,B,8400,10.74,0,0.17,xAZypWnB-o1j5,0,6
QoCsiCJa-nKtJ,INHdLpzF-JTEL,COhCEBUJ-gyhu,QoCsiCJa-nKtJ,24,40000,Própria,6,INHdLpzF-JTEL,Educativo,A,2800,8.49,0,0.07,COhCEBUJ-gyhu,0,4
JmcHMWYd-mYZW,5ltbYDpw-SSyE,mxvepgn2-49o2,JmcHMWYd-mYZW,29,60000,Hipotecada,0,5ltbYDpw-SSyE,Educativo,B,2400,10.75,0,0.04,mxvepgn2-49o2,0,9
GOSgnKqh-wmq7,Zn3wCEK9-G6HJ,IO9LKQQf-cqf1,GOSgnKqh-wmq7,27,95000,Hipotecada,6,Zn3wCEK9-G6HJ,Pessoal,C,15000,12.68,0,0.16,IO9LKQQf-cqf1,0,9
j3DGPxpS-Wyzt,pjyZKrQq-rlwZ,UXkHmmqa-nHdy,j3DGPxpS-Wyzt,30,125000,Hipotecada,14,pjyZKrQq-rlwZ,Empreendimento,C,7000,NULL,0,0.06,UXkHmmqa-nHdy,0,7
kKbNAHiL-L5qk,dJ3rWHqk-QGtw,YY5bAnxc-wrhv,kKbNAHiL-L5qk,32,24000,Alugada,2,dJ3rWHqk-QGtw,Médico,A,12000,NULL,1,0.5,YY5bAnxc-wrhv,0,8
asPXbSe1-Zfyo,OgjqhMsS-slJh,qKWmsWvD-X1y1,asPXbSe1-Zfyo,22,45000,Alugada,6,OgjqhMsS-slJh,"Pagamento de débitos",B,16000,10.59,1,0.36,qKWmsWvD-X1y1,0,4
DBa4bxd9-HUnN,shqpyIjf-U8xU,SovduQuk-ioGA,DBa4bxd9-HUnN,30,NULL,Alugada,0,shqpyIjf-U8xU,,A,8875,7.9,1,0.17,SovduQuk-ioGA,0,7
W294D5cf-FD2J,J2Qd935S-sNf4,rbhFiEiq-8JnO,W294D5cf-FD2J,28,65000,Alugada,13,J2Qd935S-sNf4,"Melhora do lar",A,15000,7.51,0,0.23,rbhFiEiq-8JnO,0,6
xMwnazpf-uS2U,oUQGkntp-pr8L,sspEBvO0-itAb,xMwnazpf-uS2U,24,49200,Alugada,8,oUQGkntp-pr8L,Empreendimento,C,10000,13.49,0,0.2,sspEBvO0-itAb,0,3
Tahda0of-tGdx,rlynsbSt-qkeE,tQU1oEcw-1Ho1,Tahda0of-tGdx,34,54000,Alugada,5,rlynsbSt-qkeE,Médico,D,3000,15.37,1,0.06,tQU1oEcw-1Ho1,1,6
GwHMqkSH-G6Ho,3wurqfdb-B0JK,XcurOO9H-38lW,GwHMqkSH-G6Ho,24,31000,Alugada,8,3wurqfdb-B0JK,Empreendimento,C,13500,13.43,1,0.44,XcurOO9H-38lW,1,4
2m4QzmsA-16Pl,BSpJsyIJ-OcAW,lWWdiIb1-sqwx,2m4QzmsA-16Pl,24,51000,Alugada,2,BSpJsyIJ-OcAW,,D,3800,8.59,0,0.15,lWWdiIb1-sqwx,NULL,2
wPYHUWRR-2Rdh,mtxM5bBc-v8R8,2oc43F6x-HGjo,wPYHUWRR-2Rdh,29,50000,Hipotecada,13,mtxM5bBc-v8R8,Médico,B,13650,10.99,0,0.27,2oc43F6x-HGjo,0,9
1fxqLuSr-AsTK,wFtbqlUY-YGAp,hp1zMcDW-ufss,1fxqLuSr-AsTK,24,65000,Alugada,3,wFtbqlUY-YGAp,Pessoal,B,10000,12.42,0,0.15,hp1zMcDW-ufss,0,2
ztQZeTGe-DoxO,QcMEE1mO-nlvl,okDzOilv-W8hr,ztQZeTGe-DoxO,42,60000,Alugada,1,QcMEE1mO-nlvl,Pessoal,E,15000,NULL,1,0.25,okDzOilv-W8hr,1,15
dPL1r2d2-LOGu,loEGx64X-sRPM,IYu6E8Qn-7rQ2,dPL1r2d2-LOGu,25,90000,Hipotecada,7,loEGx64X-sRPM,Empreendimento,A,11000,9.32,0,0.12,IYu6E8Qn-7rQ2,0,3
w9S5qG8n-sQlb,4BGjOi1f-Jnp9,AoYzIbqW-fNHE,w9S5qG8n-sQlb,36,31000,Alugada,2,4BGjOi1f-Jnp9,Educativo,A,2500,8.9,0,0.08,AoYzIbqW-fNHE,0,13
cFCLRU7N-rndh,nkAjuZDA-2sMm,Skm8QDBX-dt95,cFCLRU7N-rndh,26,21600,Alugada,0,nkAjuZDA-2sMm,"Pagamento de débitos",B,5000,9.99,0,0.23,Skm8QDBX-dt95,0,4
yHMN1C2u-UwbD,ZNjvdZyM-Llhl,lgPNNNFi-EkRY,yHMN1C2u-UwbD,27,60500,Alugada,6,ZNjvdZyM-Llhl,Médico,B,2400,12.69,0,0.04,lgPNNNFi-EkRY,0,8
OF8cXob1-nj0t,dCWWOmry-1vJJ,GMrcHk2j-sNE3,OF8cXob1-nj0t,29,40000,Hipotecada,0,dCWWOmry-1vJJ,Educativo,A,10625,6.62,0,0.27,GMrcHk2j-sNE3,0,5
tzNNolmL-osJ5,i9HqdZZO-pINF,A252qo2O-JQoA,tzNNolmL-osJ5,23,48000,Hipotecada,7,i9HqdZZO-pINF,Educativo,B,10000,10.65,0,0.21,A252qo2O-JQoA,0,4
F50d5Bth-7gq5,RJxyllJf-ycv1,I7KJr01J-5OMF,F50d5Bth-7gq5,23,61000,Alugada,3,RJxyllJf-ycv1,Pessoal,A,4200,6.03,0,0.07,I7KJr01J-5OMF,0,4
izH1rjtT-aKsE,8ZZw9H3h-3G3G,jeW64J8F-LUiC,izH1rjtT-aKsE,41,24000,Alugada,2,8ZZw9H3h-3G3G,"Pagamento de débitos",D,4000,16.07,1,0.17,jeW64J8F-LUiC,0,14
M4xkGyzH-J7yl,WvuBBa0n-6Iyy,BL6qtvnJ-TIxu,M4xkGyzH-J7yl,35,66000,Hipotecada,4,WvuBBa0n-6Iyy,Empreendimento,A,3000,6.03,0,0.05,BL6qtvnJ-TIxu,0,7
CMOTzw1J-srD8,IBavAsZz-RCUh,lPxxzXl9-z5sH,CMOTzw1J-srD8,29,32800,Alugada,13,IBavAsZz-RCUh,Médico,E,12000,16.45,1,0.37,lPxxzXl9-z5sH,0,9
0F73ebtg-cUMd,edcXOOuW-AP2k,rZ1ZZj4K-abxq,0F73ebtg-cUMd,24,35000,Alugada,1,edcXOOuW-AP2k,"Pagamento de débitos",B,10000,NULL,0,0.29,rZ1ZZj4K-abxq,0,4
lHdU6ZFg-oWjK,SmiMX2H2-Pniw,a29rcoqI-azEc,lHdU6ZFg-oWjK,28,100000,Própria,7,SmiMX2H2-Pniw,"Melhora do lar",C,2500,12.84,NULL,0.06,a29rcoqI-azEc,NULL,14
utAh29tr-5SKh,5cuXo8ct-ettp,rQDifpHK-lhmT,utAh29tr-5SKh,25,110004,Hipotecada,9,5cuXo8ct-ettp,"Melhora do lar",A,15000,7.66,0,0.14,rQDifpHK-lhmT,0,4
uRvldbk8-F3ny,KCIqpKYR-itYT,GC2g1LL0-kBdN,uRvldbk8-F3ny,31,52000,Hipotecada,15,KCIqpKYR-itYT,Pessoal,B,15200,12.21,0,0.29,GC2g1LL0-kBdN,0,8
e0dl099k-HbT9,ZpjRfZbQ-Qdha,M1UERnLT-QoOt,e0dl099k-HbT9,24,114800,Alugada,6,ZpjRfZbQ-Qdha,Pessoal,A,10000,8.94,0,0.09,M1UERnLT-QoOt,0,4
URYLcOUN-G8WQ,gzaPveLx-ubqz,7D1tlsej-qkEf,URYLcOUN-G8WQ,24,21600,Hipotecada,0,gzaPveLx-ubqz,"Pagamento de débitos",D,2000,14.84,1,0.09,7D1tlsej-qkEf,0,2
5Gb6YgDt-hd9E,5kTdjS60-wfmv,8lgkmWHp-OyI8,5Gb6YgDt-hd9E,25,73000,Alugada,1,5kTdjS60-wfmv,Empreendimento,A,10000,7.88,0,0.14,8lgkmWHp-OyI8,0,4
ZEJqmuxp-iPmi,GU3h4sp5-4IRm,hzEBlMJg-qwAN,ZEJqmuxp-iPmi,22,52000,Alugada,1,GU3h4sp5-4IRm,Educativo,C,12000,13.61,0,0.23,hzEBlMJg-qwAN,1,3
P8Zs8hJR-ZbQe,LJ7qbEUM-CJsb,MMBNqZLv-vWqW,P8Zs8hJR-ZbQe,29,56400,Alugada,1,LJ7qbEUM-CJsb,"Pagamento de débitos",A,3000,7.9,1,0.05,MMBNqZLv-vWqW,0,6
53dx5KCQ-vTGF,sK0FyDon-Ae5d,JJlKDKJ9-gFWT,53dx5KCQ-vTGF,23,61455,Hipotecada,0,sK0FyDon-Ae5d,Médico,E,15000,16.82,1,0.21,JJlKDKJ9-gFWT,0,3
pTskgoGx-vtc4,9RdbKW7v-GDvs,ihXawXTz-S3Iy,pTskgoGx-vtc4,44,30160,Hipotecada,4,9RdbKW7v-GDvs,Pessoal,C,7500,NULL,0,0.25,ihXawXTz-S3Iy,0,16
QyNj1ZED-W8Lq,EXFUB9lf-Jj8m,7ZsltfRj-7vra,QyNj1ZED-W8Lq,24,60000,Hipotecada,4,EXFUB9lf-Jj8m,Educativo,A,4000,7.9,0,0.07,7ZsltfRj-7vra,0,3
Wa6Ppswu-pYW1,SRadm12G-wGUU,h8j3BXXW-PI4K,Wa6Ppswu-pYW1,35,76000,Alugada,2,SRadm12G-wGUU,Empreendimento,C,1000,13.49,0,0.01,h8j3BXXW-PI4K,0,8
